Year,Year ending,Offence Division,Offence Subdivision,Offence Group,Victim Reports,"Rate per 100,000 population"
2015,September,B Property and deception offences,B40 Theft,Other theft offences,"26,607",441.8
2015,September,B Property and deception offences,B50 Deception,B50 Deception,"3,232",53.7
2015,September,C Other offences,C Other offences,C Other offences,316,5.2
2014,September,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,185,3.1
2014,September,A Crimes against the person,A20 Assault and related offences,A21 Serious assault,"16,259",275.8
2014,September,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","2,610",44.3
2014,September,A Crimes against the person,A20 Assault and related offences,A23 Common assault,"16,854",285.9
2014,September,A Crimes against the person,A30 Sexual offences,A31 Rape,"2,451",41.6
2014,September,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"3,072",52.1
2014,September,A Crimes against the person,A30 Sexual offences,A33 Incest,202,3.4
2014,September,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,76,1.3
2014,September,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,14,0.2
2014,September,A Crimes against the person,A40 Abduction and related offences,A40 Abduction and related offences,407,6.9
2014,September,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"1,945",33.0
2014,September,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,218,3.7
2014,September,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,80,1.4
2014,September,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,46,0.8
2014,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A71 Stalking & A72 Harassment and private nuisance,"1,978",33.6
2014,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A73 Threatening behaviour,"4,429",75.1
2014,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A80 Dangerous and negligent acts endangering people,"2,715",46.1
2014,September,B Property and deception offences,B10 Arson,B10 Arson,"1,881",31.9
2014,September,B Property and deception offences,B20 Property damage,B21 Criminal damage,"24,215",410.8
2014,September,B Property and deception offences,B20 Property damage,B22 Graffiti,"1,373",23.3
2014,September,B Property and deception offences,B20 Property damage,B29 Other property damage offences,272,4.6
2014,September,B Property and deception offences,B30 Burglary/Break and enter,B31 Aggravated burglary,"2,360",40.0
2014,September,B Property and deception offences,B30 Burglary/Break and enter,B32 Non-aggravated burglary,"28,117",477.0
2014,September,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"14,441",245.0
2014,September,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"44,541",755.6
2014,September,B Property and deception offences,B40 Theft,B43 Steal from a retail store,384,6.5
2014,September,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,"4,947",83.9
2014,September,B Property and deception offences,B40 Theft,Other theft offences,"26,465",448.9
2014,September,B Property and deception offences,B50 Deception,B50 Deception,"3,054",51.8
2014,September,C Other offences,C Other offences,C Other offences,338,5.7
2013,September,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,146,2.5
2013,September,A Crimes against the person,A20 Assault and related offences,A21 Serious assault,"16,892",292.6
2013,September,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","2,477",42.9
2013,September,A Crimes against the person,A20 Assault and related offences,A23 Common assault,"16,488",285.6
2013,September,A Crimes against the person,A30 Sexual offences,A31 Rape,"2,466",42.7
2013,September,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"3,006",52.1
2013,September,A Crimes against the person,A30 Sexual offences,A33 Incest,185,3.2
2013,September,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,108,1.9
2013,September,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,11,0.2
2013,September,A Crimes against the person,A40 Abduction and related offences,A40 Abduction and related offences,452,7.8
2013,September,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"2,121",36.7
2013,September,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,231,4.0
2013,September,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,83,1.4
2013,September,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,42,0.7
2013,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A71 Stalking & A72 Harassment and private nuisance,"1,985",34.4
2013,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A73 Threatening behaviour,"4,360",75.5
2013,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A80 Dangerous and negligent acts endangering people,"2,434",42.2
2013,September,B Property and deception offences,B10 Arson,B10 Arson,"1,892",32.8
2013,September,B Property and deception offences,B20 Property damage,B21 Criminal damage,"26,109",452.3
2013,September,B Property and deception offences,B20 Property damage,B22 Graffiti,"1,401",24.3
2013,September,B Property and deception offences,B20 Property damage,B29 Other property damage offences,261,4.5
2013,September,B Property and deception offences,B30 Burglary/Break and enter,B31 Aggravated burglary,"2,560",44.3
2013,September,B Property and deception offences,B30 Burglary/Break and enter,B32 Non-aggravated burglary,"28,295",490.2
2013,September,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"11,873",205.7
2013,September,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"39,186",678.8
2013,September,B Property and deception offences,B40 Theft,B43 Steal from a retail store,407,7.1
2013,September,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,"4,651",80.6
2013,September,B Property and deception offences,B40 Theft,Other theft offences,"27,890",483.1
2013,September,B Property and deception offences,B50 Deception,B50 Deception,"3,894",67.5
2013,September,C Other offences,C Other offences,C Other offences,279,4.8
